ICD-9 Code,is_ICD-9,ICD-10 Chapter
C71,FALSE,C71
S22080D,FALSE,S22
S42201,FALSE,S42
D64,FALSE,D64
R000,FALSE,R00
334.4,TRUE,G11
307.8,TRUE,F95
H8149,FALSE,H81
M93,FALSE,M93
G308,FALSE,G30
I6350,FALSE,I63
C21,FALSE,C21
M5031,FALSE,M50
N184,FALSE,N18
H401430,FALSE,H40
D432,FALSE,D43
S32441,FALSE,S32
E13,FALSE,E13
H3411,FALSE,H34
D332,FALSE,D33
S3289,FALSE,S32
I77,FALSE,I77
M4302,FALSE,M43
B9729,FALSE,B97
S06301A,FALSE,S06
R7881,FALSE,R78
C229,FALSE,C22
M5134,FALSE,M51
J84112,FALSE,J84
I120,FALSE,I12
M80052D,FALSE,M80
L89150,FALSE,L89
N132,FALSE,N13
S460,FALSE,S46
D17,FALSE,D17
M478,FALSE,M47
F09,FALSE,F09
Q05,FALSE,Q05
F1097,FALSE,F10
H53,FALSE,H53
K810,FALSE,K81
362.5,TRUE,H35
M25462,FALSE,M25
N32,FALSE,N32
M86,FALSE,M86
M4712,FALSE,M47
J206,FALSE,J20
I503,FALSE,I50
M5410,FALSE,M54
M1280,FALSE,M12
B42,FALSE,B42
K7460,FALSE,K74
C799,FALSE,C79
S0990,FALSE,S09
G8220,FALSE,G82
S14,FALSE,S14
Q6211,FALSE,Q62
Z723,FALSE,Z72
I5040,FALSE,I50
C187,FALSE,C18
M87,FALSE,M87
138,TRUE,B90
F4325,FALSE,F43
K51,FALSE,K51
N172,FALSE,N17
M190,FALSE,M19
C54,FALSE,C54
C9151,FALSE,C91
T79,FALSE,T79
F29,FALSE,F29
R538,FALSE,R53
Z9689,FALSE,Z96
M059,FALSE,M05
I63319,FALSE,I63
I35,FALSE,I35
I69391,FALSE,I69
L984,FALSE,L98
G71,FALSE,G71
L03114,FALSE,L03
M130,FALSE,M13
824,TRUE,S92
G6181,FALSE,G61
E78,FALSE,E78
S062X2S,FALSE,S06
S0291,FALSE,S02
S32030,FALSE,S32
D73,FALSE,D73
719.41,TRUE,M25
D32,FALSE,D32
G8192,FALSE,G81
G8221,FALSE,G82
S32591D,FALSE,S32
M797,FALSE,M79
R001,FALSE,R00
I69954,FALSE,I69
M89,FALSE,M89
L97411,FALSE,L97
M7981,FALSE,M79
C85,FALSE,C85
S75,FALSE,S75
J9690,FALSE,J96
435.9,TRUE,G45
W01,FALSE,W01
343.9,TRUE,G80
I8243,FALSE,I82
G72,FALSE,G72
Z9114,FALSE,Z91
K45,FALSE,K45
T81,FALSE,T81
M9682,FALSE,M96
S2241XA,FALSE,S22
N3000,FALSE,N30
M0579,FALSE,M05
575,TRUE,K83
K259,FALSE,K25
G7001,FALSE,G70
S4230,FALSE,S42
M488,FALSE,M48
D352,FALSE,D35
722.7,TRUE,M51
J439,FALSE,J43
M61,FALSE,M61
C261,FALSE,C26
I311,FALSE,I31
I70213,FALSE,I70
K85,FALSE,K85
I6354,FALSE,I63
G214,FALSE,G21
G11,FALSE,G11
M5126,FALSE,M51
I6523,FALSE,I65
E27,FALSE,E27
K5900,FALSE,K59
I74,FALSE,I74
G618,FALSE,G61
F419,FALSE,F41
M84350,FALSE,M84
M4640,FALSE,M46
337,TRUE,G90
L89204,FALSE,L89
E6601,FALSE,E66
T42,FALSE,T42
C220,FALSE,C22
432.1,TRUE,I61
G834,FALSE,G83
J1281,FALSE,J12
S46211D,FALSE,S46
H53021,FALSE,H53
M21371,FALSE,M21
I213,FALSE,I21
824.8,TRUE,S92
J128,FALSE,J12
I69020,FALSE,I69
A047,FALSE,A04
M3219,FALSE,M32
S42252A,FALSE,S42
S126,FALSE,S12
Z87820,FALSE,Z87
153.9,TRUE,C18
S66,FALSE,S66
820,TRUE,S72
T8452,FALSE,T84
I614,FALSE,I61
D291,FALSE,D29
I69398,FALSE,I69
240,TRUE,E04
C760,FALSE,C76
S060X9A,FALSE,S06
B0229,FALSE,B02
I339,FALSE,I33
C44,FALSE,C44
S42301A,FALSE,S42
S030,FALSE,S03
G03,FALSE,G03
J40,FALSE,J40
I69393,FALSE,I69
I69359,FALSE,I69
G9520,FALSE,G95
M9667,FALSE,M96
E780,FALSE,E78
M25512,FALSE,M25
M25552,FALSE,M25
E669,FALSE,E66
C169,FALSE,C16
G6189,FALSE,G61
B02,FALSE,B02
414.9,TRUE,I25
S42292D,FALSE,S42
I824,FALSE,I82
I6351,FALSE,I63
Z95,FALSE,Z95
S2231,FALSE,S22
M25519,FALSE,M25
S52531,FALSE,S52
I471,FALSE,I47
G43,FALSE,G43
K62,FALSE,K62
I2699,FALSE,I26
I729,FALSE,I72
I700,FALSE,I70
M4727,FALSE,M47
724.02,TRUE,M54
D61,FALSE,D61
M1021,FALSE,M10
F332,FALSE,F33
E05,FALSE,E05
E66,FALSE,E66
B029,FALSE,B02
294.1,TRUE,F02
Z48812,FALSE,Z48
J17,FALSE,J17
I97,FALSE,I97
N1330,FALSE,N13
I715,FALSE,I71
I6931,FALSE,I69
T827XXA,FALSE,T82
S32502,FALSE,S32
S32009,FALSE,S32
I680,FALSE,I68
S32501D,FALSE,S32
Z99,FALSE,Z99
I351,FALSE,I35
J129,FALSE,J12
L031,FALSE,L03
K566,FALSE,K56
F319,FALSE,F31
K768,FALSE,K76
496,TRUE,J44
N63,FALSE,N63
E41,FALSE,E41
S4249,FALSE,S42
331.9,TRUE,G31
K52,FALSE,K52
S06360A,FALSE,S06
I25119,FALSE,I25
L97419,FALSE,L97
R45851,FALSE,R45
G2581,FALSE,G25
388.5,TRUE,H93
M84452,FALSE,M84
I6782,FALSE,I67
D75,FALSE,D75
M5106,FALSE,M51
344.1,TRUE,G81
I38,FALSE,I38
C786,FALSE,C78
438,TRUE,I69
R64,FALSE,R64
S3210XA,FALSE,S32
J9611,FALSE,J96
M86172,FALSE,M86
A04,FALSE,A04
I222,FALSE,I22
C15,FALSE,C15
